제목,기관,키워드,본문
"에스알, LG스포츠와 열차-경기관람 연계 협력","에스알,에스알(SR,LG스포츠,국민,SR","에스알,LG스포츠,열차,경기관람,연계,협력,SRT,승차권,야구,상품,관람,패키지,상품,에스알,콜라보,굿즈,제작,운영사,국민,철도,SR,대표,이사,이종국,LG스포츠,열차,경기관람,연계,사업,지역사회,지속,가능,발전,업무,협약,체결,25일,이날,협약식,대표이사,이종국,에스알,대표,이사,대표이사,김인석,LG,스포츠,대표,이사,참석,고객,팬층,확대,연계사업,추진,에스알,LG스포츠,SRT,승차권,야구,관람,결합,패키지,상품,상호,오프라인,광고,매체,활용,확산,광고,협력,이벤트,경품,상호,협찬,콜라보,굿즈,제작,ESG,지속가능,미래,가치,창출,협력사업,협력,계획,대표이사,이종국,에스알,대표,이사,SRT,경전,동해,전라선,운행확대,지역,스포츠팬들,SRT,편리,전국,스포츠경기,관람,LG스포츠,협력,지역사회,지속,가능,발전,노력","SRT 승차권-야구 관람권 패키지 상품 개발, 콜라보 굿즈 제작 등SRT 운영사 국민철도 에스알(SR, 대표이사 이종국)은 LG스포츠와 함께 열차와 경기관람을 연계한 사업을 통해 지역사회와 함께하고 지속 가능한 발전을 위해 지난 22일 업무협약을 체결했다고 25일 밝혔다.



이날 열린 협약식에는 이종국 에스알 대표이사와 김인석 LG스포츠 대표이사 등.."
"'망그러진곰' 왔다 우리카드, 한정판 디자인 플레이트 출시",우리카드,"우리카드,한정판,디자,플레이트,출시,우리카드,인기,캐릭터,콜라보,한정판,디자인,출시,4일,콜라보,지난달,출시,에브리원,카드,의정석,디자,2종,추가,내년,1년,발급,가능,한정판,디자인,카드,플레이트,상품안내장,배송,세트,에디션,카드,혜택,카드,의정석,에브리원,동일,디자인,우리카드,고객,선호도,조사,투표,엄선,4월,인스타그램,계정,콘셉트,디자,선호도,조사,진행,3만,참여,게시,2만,달성,1,차지,행운망곰,대왕망,2만,2만,투표,최종,선정,콜라보,디자,출시,기념,이벤트,진행,카드,발급,선착순,고객,카드,수령,2매,한정판,스티커,내달말,인스타그램,우리카드,공식,wooricard,팔로우,캐릭터,인스타그램,게시,고객,10명,추첨,쿠션,스페셜,굿즈,증정,카드,의정석,에브리원,연회비,1만,우리카드,관계자,MZ세대,인기,캐릭터,콜라보,카드,출시,고객,확대,혜택,디자인,충족,카드,출시,예정,관심,부탁","[머니투데이 황예림 기자] 
우리카드가 인기 캐릭터 '망그러진곰'과 콜라보한 한정판 디자인을 출시했다고 4일 밝혔다.

이번 콜라보로 지난달 출시한 신상품 '카드의정석 에브리원'에 망그러진곰 디자인 2종이 추가됐다. 내년 8월말까지 1년간 발급 가능한 한정판 디자인이며 카드 플레이트뿐만 아니라 상품안내장, 배송 세트까지 망그러진곰 에디션으로 받아볼 수 .."
락토핏 콤보에 샘플키트까지 락토핏xCGV 콜라보 캠페인 시작,"CGV,종근당","락토핏,콤보,샘플키트,락토핏,xCGV,콜라보,캠페인,시작,종근당건강,락토핏,유산균,브랜드,멀티플렉스,영화관,CGV,협업,21일,2주,락토핏,콤보,판매,CGV,종근당건강,협업,건강,식품,업계,타사,콜라보,종근당,건강,모델,락토핏,발탁,박서준,신작,할리우드,출연,마블스,개봉,콤보,계획,락토핏,콤보,팝콘,사이즈,사이즈,음료,락토핏,골드,샘플,키트,2포,구성,2인,세트,락토핏,브랜드,노란색,팝콘,포인트,색상,활용,특징,락토핏,콤보,구매,소비자,혜택,온라인,프로모션,온라인,프로모션,구성품,콤보,락토핏,샘플키트,QR,촬영,확인,QR,촬영,발급,시크릿,쿠폰,종근당,공식몰,등록,혜택,락토,제품,할인,제공,종근당,건강,관계자,박서준,락토핏,모델,개봉,신규,영화,영화관,락토핏,락토핏,콤보,준비,브랜드,시도,도전적,마케팅,화제성,세일즈,마리,토끼,종근당건강,CGV,콜라보,상품,락토핏,콤보,매장,전국,CGV,구매","종근당건강의 유산균 브랜드 락토핏이 국내 멀티플렉스 영화관 CGV와 협업하여 11월 8일부터 21일까지 2주간 ‘락토핏 콤보’를 판매한다. CGV와 종근당건강의 협업은 건강기능식품 업계 최초 타사와의 콜라보이며, 종근당건강은 지난 5월 락토핏 모델로 발탁된 박서준의 할리우드 출연 신작 “더 마블스”의 개봉에 맞춰 락토핏 콤보를 선보일 계획이다. 
 
 .."
"포스코, 기업 광고도 바꿨다..""판타지와 철이 만나 판타스틸""","wi,넥슨,유튜브,그린스틸,포스코,포스코TV","포스코,기업,광고,판타지,판타스틸,넥슨,콜라보,이색,광고,전국,극장,온라인,플랫폼,공개,최고,품질,포스코,철강,제품,등장,게임,판타지,접목,스토리텔링,2030세대,철강,이해,포스코,공개,판타스틸,철기,시대,서막,광고,장면,포스코,제공,포스코,공개,판타스틸,철기,시대,서막,광고,장면,포스코,제공,포스코,광고,게임업체,콜라보,광고,세대,철강,취지,넥슨,협업,광고,공개,8월,이틀,16일,조회수,이날,포스코,판타스틸,콜라보,광고,철기시대,서막,전국,극장,플랫폼,온라인,동영,공개,광고,넥슨,게임,회사,협업,포스코,콜라보,광고,세대,공감,세련,영상미,특징,평화,인류,가치,임팩트,평가,광고,슬로건,판타스틸,FANTASTEEL,판타지,Fantasy,Steel,합성어,포스코,선포,Better,World,Green,Steel,비전,슬로건,세대,눈높이,광고,슬로건,재해석,하정진,포스코,커뮤니케이션,그룹장,철강,미래세대,판타지,세상,Better,World,의미,광고,포스코,자체,제작,영상,게임,시네마틱,넥슨,프라시아,전기,결합,프레임,중세,시대,판타지,배경,포스코,철강제품,게임,아이템,등장,초고,강도,강판,기가스틸,강도,경량화,이종,소재,결합,멀티머티리얼,내식,우수,포스맥,불연,컬러,강판,영하,극저온,우수,강도,유지,고망간강,철강제품,전투,아이템,접목,포스코,제품,우수성,강조,광고,유튜브,포스코,TV,SNS,채널,포스코,채널,특성,티저,본편,풀스토리,포함,장편,영상,포맷,제작,영화관,상영,분량,장초수,長秒數,광고,극장,화면,시청,제작,영상미,일상,게임,세대들,각광,후속편,광고,후속,포스코,마스터,브랜드,Greenate,그리닛,수소환원제철,포스코,노력,탄소,중립,추진,의지,후속,판타스틸,그린스틸,미래,리딩기업,철강,리딩,기업,위상,계획,콜라보,광고,공개,기념,이벤트,게임,플레이어,프라시아,전기,게임,진행,이벤트,판타스틸,제전,참여,미션,수행,파편,포스코,판타스틸,보상,아퀴,성장,초기,주문서,배지,포스코,판타,스틸,게임,아이템,제작","넥슨과 첫 콜라보 이색광고 내보내 
전국 극장, 온라인 플랫폼에 공개 
최고 품질 포스코 철강 제품 등장 
게임 판타지와 접목해 스토리텔링 
""2030세대들이 철강 더 쉽게 이해"" 
 
 포스코가 14일 공개한 '판타스틸-신(新)철기 시대의 서막' 광고의 한 장면. 포스코 제공 
 포스코가 14일 공개한 '판타스틸-신(新)철기 시대의 서막' 광고의 한 .."
"e편한세상, 덴마크 프리미엄 리빙 브랜드 `프리츠한센`과 콜라보","유니트,e편한세상,DL이앤씨,인천도시철도,천호역","e편한세상,프리츠한센,덴마크,프리미엄,리빙,브랜드,콜라보,e편한세상,대한민국,대표,아파트,브랜드,역사,덴마크,리빙,브랜드,프리츠한센,스페셜,콜라보레이션,진행,분야,최고,브랜드,시장,리드,2개,브랜드,특별,제안,준비,만큼,업계,이목,DL이앤씨,콜라보,소비자들,e편한세상,주거,공간,프리츠한센,가구,일상,특별,프리미엄,라이프,스타일,경험,선사,계획,DL이앤씨,콜라보,진행,프리츠한센,덴마크,설립,전통,국제적,명성,디자,브랜드,가구,조명,시장,인테리어,제품,프리츠한센,디자인,우수,품질,장인,정신,모던,북유럽,라이프,스타일,아르네,야콥센,케홀름,세실리에,만즈,한스,웨그너,피에로,리쏘니,세계적,작가,디자이너,건축가들,지속적,협업,브랜드,콜라보,9월,분양,예정,프레스티지원,강동,웰카운티,검단,단지,주택전시관,유니트,소파,테이블,의자,조명,프리츠한센,제품들,대표,리빙,제품,전시,편한,세상,주택,전시관,방문,고객들,단지,구조,세대,평면,디자인,마감재,프리미엄,가구,트렌드,리빙,인테리어,감상,특별,기회,제공,예정,오픈,주택,전시관,프리츠한센,홍보,부스,마련,방문객들,브랜드,제품,상담,안내,제공,한세상,고객,특별,혜택,제공,일환,프리츠한센,바우처,스페셜,할인,증정,계획,의미,DL,이앤,관계자,프리츠한센,콜라보,한국,사람들,거주,공동주택,주택전시관,최고,리빙,브랜드,가구,전시,구조,평형,거주자,취향,가치관,가구,소품,공간,감성,라이프스타일,변화,e편한세상,프리츠한센,제안,공간,프리미엄,주거,트렌드,리빙,인테리어,경험,e편한세상,프리츠한센,지속적,협업,분양,단지,콜라보,소비자들,프로그램들,진행,계획,협업,주택전시관,프리츠한센,가구,프레스티지원,강동,9월,분양,예정,서울,강동구,천호동,일원,천호,구역,주택,건축,정비사업,공급,단지,지하철,8호,지하철,5,,천호역,반경,450m,위치,도보,8분,이용,가능,입지,더블,역세,천호공원,한강공원,도보,600m,공세,입지,지역,경쟁력,시설,고급,커뮤니티,적용,AI주차유도시스템,적용,주차,편리,제공,의무,설치,기준,5%,2배,전기차,충전,시설,마련,지하,지상,25층,8개,가구,규모,조성,전용,44~84,263가구,일반분양,DL,이앤,컨소시엄,인천,서구,검단,도시,AA10,1블록,웰카운티,검단,분양,예정,도보권,인천도시철도,101역,검단,연장선,신설역,가칭,개통,예정,25년,역세,입지,개통,환승역,개통,계양역,공항철도,인천지하철,1호,기점,서울,접근,개선,전망,4베,판상,위주,구조,적용,현관,팬트리,평형,주방팬트리,복도팬트리,수납공간,확보,단지,전용면적,국민주택,전용면적,초과,민영주택,구성,지하,지상,25층,14개,테라스,3개,포함,1,458가구,대단지,조성","대한민국 대표 아파트 브랜드 'e편한세상'이 150년 역사의 덴마크 리빙 브랜드 '프리츠한센'과 스페셜 콜라보레이션을 진행한다. 각 분야에서 최고의 브랜드이자 시장을 리드하고 있는 2개의 브랜드가 만나 특별한 제안을 준비한 만큼 업계에 이목이 쏠리고 있다. 



DL이앤씨는 이번 콜라보를 통해 소비자들에게 e편한세상의 주거 공간에서 프리츠한센 가구가 .."
"`자체 개발` 빅데이터로 상권 분석 LGU+, 홈리빙 콜라보매장 문열어","NICE정보통,MZ세대,와디즈,LG유플러스,MMMG","자체,빅데이터,상권,LGU,홈리빙,콜라보,매장,LG유플러스,자체,빅데이터,상권,솔루션,활용,일상,서울시,잠실동,잠실새내점,매장,홈리빙,콜라보,15일,매장,홈리빙,콜라보,MZ세대,제품,셀프,인테리어,인기,디자,와디즈,펀딩,플랫폼,디자,스튜디오,밀리미터,밀리그램,MMMG,협력,오픈,매장,LG,유플러스,통신,여행,캐리어,에스프레소,머신,디자,달력,홈리빙,제품,판매,공간,숍인숍,형태,입점,방식,프로젝트,LG유플러스,자체,빅데이터,상권,솔루션,적용,솔루션,매장,면적,유동,인구,개수,경쟁,업체,상권,NICE정보통신,데이터,카드,매출,주변,상권,소비,연령,방문,시간대,업종,매출,빅데이터,최적,업종,위치,산출,특징,데이터,데이터,동네,분위기,사항,지역,불편,데이터,확인,지역,점장,LG,유플러스,매장,심층,인터뷰,절차,최종,검증,자체,결과,자체,잠실새내점,인구,주변,유동,45.3%,2030세대,집계,패브릭,의류,악세사리,소비량,상품,구매,점포수,부족,조사,LG유플러스,셀프,인테리어,가치,소비,관심,고객,대상,디자인,증심,제품,다수,보유,와디즈,MMMG,협력,결정,설명,LG유플러스,사진,쇼핑,여행,스마트폰,특화,매장,운영,매장,플랫폼,전략,추진,빅데이터,상권,매장,단순,판매,채널,오프라인,플랫폼,발돋움,전략,MX혁신그룹장,이재원,LG,유플러스,MX,혁신,그룹장,데이터,상권,솔루션,상권,고도화,통신,매장,오프라인,플랫폼,진화,속도","LG유플러스는 자체 개발한 빅데이터 상권 분석 솔루션을 활용, 서울시 잠실동 '일상의틈 잠실새내점' 내 홈리빙 콜라보 매장을 열었다고 15일 밝혔다.



홈리빙 콜라보 매장은 MZ세대에게 셀프 인테리어 제품으로 인기를 끄는 디자인 펀딩 플랫폼 '와디즈' 및 디자인 스튜디오 밀리미터밀리그램(이하 MMMG)과 협력해 오픈했다. LG유플러스 통신 매장에 여.."
블랙핑크 제니X타케우치 나오코 스페셜 콜라보 MD 출시,"타케우치 나오코,위버스샵,유니크,아이 러브,더세임,X타케우치 나오코,YG","출시,블랙핑크,제니,타케우치,나오코,스페셜,콜라보,MD,제니,출시,공식,MD,위버스샵,YG,SELECT,시작,예판,세일러문,작가,타케우치,나오코,콜라보,엔터테인먼트,인프라,PLUS,IP,사업,전문,기업,YG,블랙핑크,제니,세일러문,인기,애니메이션,나오코,작가,타케우치,MD,스페셜,콜라보,출시,17일,제니,유앤미,스페셜,싱글,몽환적,신스,감미,보컬,중독성,선사,음원,정식,발매,타케우치,나오코,앨범,아트워크,작업,분위기,배가,화제,제니,유앤미,공식,MD,유앤미,아이,러브,댄싱,문라이트,love,Dancing,moonlight,가사,만월,노래,몽환,감성,특징,MD,기획,관계자,YG,SELECT,티셔츠,스웨트셔츠,쿠션커버,폰케이스,클리어,블랙,아트포스터,구성,유앤미,MD,제니,모습,세일러문,원작자,타케우치,나오코,감각,특징,블랙핑크,유니크,경험,선사,설명,유앤미,공식,MD,17일,2시,위버스샵,중문몰,YG,SELECT,예약,판매,추후,YG,PLACE,인사점,더세임,SameE,합정점,구매,가능",엔터테인먼트 인프라 및 IP 사업 전문기업 YG PLUS는 블랙핑크 제니와 인기 애니메이션 '세일러문'의 작가 타케우치 나오코의 스페셜 콜라보 MD를 출시한다고 17일 밝혔다. 제니의 스페셜 싱글 '유앤미(You & Me)'는 몽환적인 신스에 감미로운 보컬이 더해져 짙은 중독성을 선사하는 곡으로 지난 6일 정식 음원으로 발매됐다. 타케우치 나오코가 직접..
"'푸바오랑 네컷사진을?', 인생네컷 ‘푸바오 프레임’ 내달 31일까지 전국 매장 오픈","에버랜드,판다","푸바오랑,네컷,사진,인생네,푸바오,프레임,내달,오픈,전국,매장,푸바오,매력,바오,패밀리,사랑,모습,공개,프레임,글로벌,셀프,포토,스튜디오,브랜드,인생,푸바오,프레임,내달,전국적,오픈,8일,프레임,푸바오,콜라보,국민적,사랑,에버랜드,푸바오,추억,기회,전국,인생,매장,종류,프레임,촬영,가능,푸바오,디자인,위드,프레임,푸바오,별명들,푸린세스,푸요미,모습,푸바오,아빠,러바오,엄마,아이바오,개인,프레임,제공,바오,패밀리,촬영,가능,프레임,인생네,관계자,푸바오,매력,노력,남녀노소,사랑,푸바오,콜라보,인생네,이용,연령대,고객분들,즐거움,푸바오,프레임,인생네,소식,인생네,공식,인스타그램,확인","글로벌 셀프 포토 스튜디오 브랜드 '인생네컷'이 푸바오 프레임을 내달 31일까지 전국적으로 오픈한다고 8일 밝혔다. 
 
 이번 푸바오 콜라보 프레임은 전 국민적으로 사랑을 받고 있는 에버랜드의 판다, 푸바오와 함께 소중한 추억을 남길 수 있는 기회로 전국 인생네컷 매장에서 12월 31일까지 총 8가지 종류의 프레임으로 촬영 가능하다. 
 
 푸바오와 .."
동화 음악회 '퍼플엘리' 공연,국립제주박물관,"퍼플엘리,동화,음악회,공연,국립,제주박물관서,국립제주박물관,관장,박진우,9일,강당,박물관,비아트리오,퍼플엘리,동화,음악회,공연,비아트리오,4명,연주,월드,뮤직,앙상블,클래식,대중음악,콜라보,무대,공연,퍼플엘리,웹툰,형식,퍼플엘리,그림,동화책,원작,소녀,써니,써니,친구,보라색,코끼리,퍼플엘리,세계,여행,이야기,입장료,무료,사전,예약,진행","국립제주박물관(관장 박진우)은 오는 9일 오후 5시 박물관 강당에서 비아트리오의 동화 음악회 '퍼플엘리'를 공연한다.
'비아트리오'는 4명이 연주하는 월드뮤직 앙상블로 클래식과 대중음악의 콜라보를 통해 다채로운 무대를 선보이고 있다.
공연 '퍼플엘리'는 웹툰 형식의 그림 동화책 '퍼플엘리'를 원작으로 소녀 써니와 써니의 친구 보라색 코끼리 퍼플엘리가 세.."
발표 집중하는 이노베이션 솔루션 데이 2023 청중들,"전자신문,AI,한국정보산업연합회","집중,데이,이노베이션,솔루션,청중,한국정보산업연합회,전자신문,주최,이노베이션,솔루션,데이,AI,work-일잘러,AI,work,일잘러,AI,콜라보,주제,서울,서초구,엘타워,청중들,경청","한국정보산업연합회와 전자신문이 주최하는 '이노베이션 솔루션데이 2023'이 'AI for work-일잘러와 AI의 콜라보'를 주제로 17일 서울 서초구 엘타워에서 열렸다. 청중들이 발표를 경청하고 있다.

김민수기자 mskim@etnews.com"
넷마블 '신의 탑: 새로운 세계' 커스텀 PC 출시... 컴퓨존서 300대 한정 판매,"넷마블,컴퓨존,네이버,지포스,AMD,SK하이닉스","넷마블,세계,출시,커스텀,PC,컴퓨존서,한정,판매,넷마블,컴퓨존,전자,제품,전문,쇼핑,플랫폼,협업,PC,세계,콜라보,출시,14일,PC,세계,콜라보,게이밍,최적화,PC,AMD,라이젠,라파엘,7500F,그래픽,카드,Colorful,iGame,지포스,RTX,SSD,Ti,ULTRA,하이엔드급,SK하이닉스,Platinum,M.,NVMe,탑재,게이밍,최적화,파노라믹뷰,강화,유리,케이스,P30,에디션,제작,소장가치,세계,조회수,돌파,네이버웹툰,RPG,수집,애니메이션,원작,그래픽,압도,퀄리티,애니메이션,게임성,전면","넷마블은 전자제품 전문 쇼핑 플랫폼 컴퓨존과 협업해 '신의 탑: 새로운 세계 콜라보 PC'를 출시한다고 14일 밝혔다.

'신의 탑: 새로운 세계 콜라보 PC'는 게이밍에 최적화된 PC다. △AMD 라이젠 5 라파엘 7500F △그래픽카드 Colorful iGame 지포스 RTX 4060 Ti ULTRA △하이엔드급 SSD인 SK하이닉스의 Platinu.."
"시프트업 '승리의 여신:니케', 니어: 오토마타 컬래버 힘입어 일본 매출 1위",,"시프트업,승리,여신,니케,니어,오토마타,컬래버,1위,일본,매출,시프트업,승리,여신,니케,1위,서브컬처,게임,본고장,일본,앱스토어,매출,재탈환,시프트업,레벨,인피니트,서비스,승리,여신,니케,니어,오토마타,컬래버레이션,업데이트,이용자,호응,업데이트,당일,1위,일본,다운로드,상승,여력,4일,매출,순위,8일,업데이트,콜라보,캐릭터,추가,자리,매출,콜라보,앱스토어,대만,북미,최고,순위,기록,매출,지속,흥행,승리,여신,니케,글로벌,출시,10개월,디렉터,유형석,시프트업,시프트업,개발진,니어,오토마타,서브컬처,게임,유저,진심,업데이트,1위,기록,니케,세계적,오랫동안,사랑,IP,운영,최선","시프트업 '승리의 여신:니케'가 서브컬처 게임 본고장 일본 앱스토어 매출 1위를 재탈환했다.

시프트업이 개발하고 레벨 인피니트가 서비스하는 '승리의 여신:니케'는 최근 '니어: 오토마타' 컬래버레이션 업데이트가 이용자로부터 큰 호응을 얻었다. 9월 1일 업데이트 당일에는 일본 다운로드 1위로 상승 여력을 기대하게 했고 4일 차에 매출 3위로 순위를 끌.."
"렛츠런파크 부경, 19 26일 ‘블랙프라이데이’","한국마사회,아메리칸라거,부산경남","렛츠런파크,부경,19,지역,소상공인,참가,업체,부산경남,한국마사회,렛츠런파크,지역,소상공인,연계,깨알이,블랙,프라이데이,행사,시행,행사,19일,26일,11시,5시,렛츠런파크,부산경남,더비랜드,광장,오프라인,할인,판매,형식,진행,행사,지역,소상공인,사회적,기업,상품,가격,구매,상품,모자,액세서리,주얼리,디퓨저,완구,은공예품,아동복,건어물,각종,디저트,품목,한국마사회,인기,캐릭터,깨알이,콜라보,키링,초롱등,머그컵,DIY상품,문구류,의류,제품,판매,우수,품질,상품,깨알,캐릭터,귀여움,콜라보,상품,소비자,마음,예정,판매,제품,깨알,캐릭터,디폼,블럭,우드색칠,달고나,고객,가족,단위,체험행사,동시,진행,26일,주류대상,차례,대한민국,주류,대상,수상,화수브루어리,브루어리,수제,맥주,판매,바닐라스타우트,아메리칸,불멍,유자페일,캘슈,맥주,애호가,인생,맥주,맥주들,렛츠런파크,당일,현장,수제맥주,구매,맥주,가능,사항,공지사항,한국마사회,홈페이지,공지,사항,확인","한국마사회 렛츠런파크 부산경남이 지역 소상공인과 연계해 ‘깨알이와 함께하는 블랙 프라이데이’ 행사를 시행한다.

행사는 오는 19일과 26일 오전 11시부터 오후 5시까지 렛츠런파크 부산경남 더비랜드 광장에서 오프라인 할인 판매 형식으로 진행된다.

행사에서는 지역 소상공인과 사회적기업의 상품을 저렴한 가격에 구매할 수 있다. 상품은 모자, 액세서리, .."
"펄어비스, 검은사막 X 비비고 '검은사만두' 출시","CJ제일제당,검은사만두,검은사막,펄어비스,지마켓,옥션","펄어비스,사막,검은사만두,출시,펄어비스,CJ,제일제당,비비고,이색,콜라보,제품,사만두,사만두,고기,만두,김치,만두,제품,사막,디자인,패키징,35만,개가량,한정,판매,전국,편의점,지마켓,옥션,채널,온라인,유통,구매,가능,제품,구매,사막,제휴,상자,사막,쿠폰,쿠폰,사막,사막,모바일,가능,사용,사막,제휴,상자,사막,이벤트,크론석,무기,가모스,의상,프리미엄,상자,심장,심장,발크스,조언,아이템,제공,사막,모바일,심연,협동,토벌대,입장권,블랙펄,태고,어둠,1개,상자,아이템,1개,펄어비스,사막,모험가,혜택,제공,오프라인,양면,즐거움,확대,유통,업계,콜라보,지속,진행,대륙,사막,신규,대륙,나라,출시,사막걸리,팔도,라면,왕뚜껑,사막,이색,제품","펄어비스가 CJ제일제당 비비고와 함께 이색 콜라보 제품 '검은사만두'를 선보였다.

검은사만두는 기존 비비고 깔끔고기 만두, 진한김치 만두 2가지 제품에 검은사막 디자인을 패키징한 것이다. 35만개가량을 한정 판매한다. 전국 편의점과 지마켓, 옥션 등 온라인 유통 채널을 통해 구매 가능하다.

제품 구매 시 '검은사막 X 비비고 제휴 상자'를 얻을 수 .."
‘피아노 오케스트라’의 웅장한 화음,"사람인,경기아트센터,음악협회,경기필하모닉오케스트라,한국예술종합학교","피아노,오케스트라,화음,내달,7일,페스티벌,경기,피아노,시프,헝가리,거장,연주,즉흥,선곡,아마추어,피아니스트,현역,대표,피아노,거장,사람,언드라시,시프,사진,리사이틀,피아니스트,피아노,오케스트라,피아노,모습,축제,경기아트센터,경기,수원시,기회,피아노,주제,10월,7일,무대,마련,경기,피아노,페스티벌,피아니스트,김대진,한국예술종합학교,총장,예술감독,축제,무대,콘서트,오프닝,피아노,오케스트라,제목,피아노,피아니스트,출연,미국,피아니스트,아서,그린,솔로,연주,1번,쇼팽,발라드,시작,인원,베토벤,교향곡,편곡판,오케스트라,화음,5일,소나티네,마이,페이버리트,피아노,콜라보,공연,차례,소나티네,마이,페이버리트,수원시,음악,협회,공모,선정,일반,아마추어,피아니스트,피아노,입문자,쿨라우,클레멘티,소나티네,규모,소나타,곡들,릴레이,연주,피아노,콜라보,피아니스트,2명,영재,피아니스트,콜라보,무대,마련,생상스,죽음,무도,거슈윈,랩소디,블루,연주,6일,바흐,베토벤,음악,해석자,현역,최고,사람,헝가리,출신,피아노,거장,언드라시,시프,무대,공연,프로그램,사전,공개,유명,시프,공연,즉흥적,선곡,연주,해설,예정,7일,장애인,콘서트,피날레,콘서트,장애인,콘서트,발달,장애인,단원,구성,하트하트,오케스트라,협연,김대진,피아니스트,모차르트,피아노,협주곡,연주,피날레,콘서트,성기선,지휘,경기필하모닉오케스트라,피아노,듀오,신박듀오,풀랑크,피아노,협주곡,협연,피아니스트,임동민,협연,1번,베토벤,피아노,협주곡,마지막,무대,장식","아마추어 피아니스트부터 현역 대표 피아노 거장 중 한 사람인 언드라시 시프(사진)까지, 솔로 리사이틀부터 피아니스트 30명의 ‘피아노 오케스트라’까지 . 피아노의 다양한 모습을 맛보는 축제가 열린다. 경기 수원시 경기아트센터가 ‘모두의 기회, 모두의 피아노’라는 주제로 10월 4 7일 여섯 개의 무대를 마련한 ‘2023 경기 피아노 페스티벌’이다. 피아.."
"한국도공 대전충남본부, 쉬어과자ZONE 운영 큰 호응","쉬어과자,대전충남본부장,교통안전,휴게소장협의회,하레하레,대전충남본부,한국도로공사,경부선,졸리","한국도공,대전충남본부,쉬어,과자,ZONE,운영,호응,한국도로공사,대표,브랜드,사용,협약식,개최,입장,천안삼거리,쉬어과자존,경부선,쉬어,자존,대전충남본부,운영,한국도로공사,고속도,휴게소장협의회,유관기관,교통안전,의식,개선,고속도로,교통안전,업무,협약식,개최,공사,대전충남본부,대표,브랜드인,과자&,제품,휴게소,인기,콜라보,초코파이,딸기파이,마카로니,강냉이,누룽지스낵,5종,쉬어,과자,시리즈,상품,출시,판매,휴게소,일상,캠페인,일상,쉬어과자,ZONE&,확산,고속도로,교통안전,기획,과자,한국도로공사,대전충남본부,자체,졸음,운전,예방,교통안전,브랜드,2022년도,대전,유명,제과점,하레하레,협업,제품,출시,8월,대전충남본부,지역,경부고속도로,휴게소,편의점,설치,운영,쉬어과자ZONE&,고객들,휴게소,이용,고객,반응,박진원,대전충남,본부장,안전,고속도,이용,시설개선,교통안전캠페인,지속적,노력,안전사고,실정,제품,과자,콜라보,고객들,휴식,동시,교통안전,의식,개선","한국도로공사 대표 브랜드 사용 협약식 개최입장, 천안삼거리 등 경부선 7개소 '쉬어과자존' 운영 한국도로공사 대전충남본부가 20일 고속도로 휴게소장협의회 등 유관기관과 교통안전 의식개선을 위한 고속도로 교통안전 업무 협약식을 개최했다. 

공사 대전충남본부 대표 브랜드인 '졸리면 쉬어과자'와 휴게소 인기 제품을 콜라보한 초코파이, 딸기파이.."
하동예술단 총괄운영자에 홍애련씨,"하동예술단,하동군,홍애련","하동예술단,총괄,운영자,홍애련씨,하동군,하동예술단,공연,업무,관장,총괄운영자,홍애련,왼쪽,임명,홍애련,총괄,운영자,대표,대구,현앙상블,예술감독,경기,챔버,여음,예술,감독,역임,예술성,대중성,조화,공연,기획,관객,호평,지도력,피아노,장구,이색적,콜라보,기법,활용,청소년,오케스트라,무대,최우수상,지도자상,수상,경력,소개","하동군은 하동예술단 공연업무를 관장하는 총괄운영자에 홍애련(왼쪽) 씨를 지난 14일 임명했다. 홍애련 총괄운영자는 대구 현앙상블 대표, 경기챔버 여음 예술감독을 역임하며 예술성과 대중성의 조화로운 공연 기획을 통해 많은 관객의 호평을 받아온 것으로 알려졌다. 

군은 “뛰어난 지도력으로 피아노와 장구의 이색적인 콜라보 기법을 활용한 청소년오케스트라 무대.."
